season,city,date,team1,team2,winner,win_by_runs,win_by_wickets,player_of_match,venue
2014,Cuttack,14-05-2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium
2014,Ranchi,13-05-2014,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex
2014,Bangalore,13-05-2014,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium
2014,Hyderabad,12-05-2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal"
2014,Cuttack,11-05-2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium
2014,Bangalore,11-05-2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium
2014,Mumbai,10-05-2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium
2014,Delhi,10-05-2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla
2014,Bangalore,09-05-2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium
2014,Ahmedabad,08-05-2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera"
2014,Cuttack,07-05-2014,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,44,0,GJ Maxwell,Barabati Stadium
2014,Delhi,07-05-2014,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0,8,G Gambhir,Feroz Shah Kotla
2014,Mumbai,06-05-2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,19,0,RG Sharma,Wankhede Stadium
2014,Delhi,05-05-2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,0,8,DR Smith,Feroz Shah Kotla
2014,Ahmedabad,05-05-2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,10,0,PV Tambe,"Sardar Patel Stadium, Motera"
2014,Bangalore,04-05-2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,0,4,AB de Villiers,M Chinnaswamy Stadium
2014,Delhi,03-05-2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,0,7,KK Nair,Feroz Shah Kotla
2014,Mumbai,03-05-2014,Mumbai Indians,Kings XI Punjab,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium
2014,Ranchi,02-05-2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34,0,RA Jadeja,JSCA International Stadium Complex
2014,Dubai,30-04-2014,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium
2014,Abu Dhabi,29-04-2014,Kolkata Knight Riders,Rajasthan Royals,Rajashthan Royals,0,0,JP Faulkner,Sheikh Zayed Stadium
2014,Dubai,28-04-2014,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium
2014,Sharjah,27-04-2014,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0,6,M Vijay,Sharjah Cricket Stadium
2014,Sharjah,27-04-2014,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,0,5,DR Smith,Sharjah Cricket Stadium
2014,Abu Dhabi,26-04-2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium
2014,Abu Dhabi,26-04-2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,0,6,PV Tambe,Sheikh Zayed Stadium
2014,Dubai,25-04-2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,4,0,AJ Finch,Dubai International Cricket Stadium
2014,Dubai,25-04-2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,7,MM Sharma,Dubai International Cricket Stadium
2014,Sharjah,24-04-2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2,0,CA Lynn,Sharjah Cricket Stadium
2014,Dubai,23-04-2014,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,7,0,RA Jadeja,Dubai International Cricket Stadium
2014,Sharjah,22-04-2014,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,72,0,GJ Maxwell,Sharjah Cricket Stadium
2014,Abu Dhabi,21-04-2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,93,0,SK Raina,Sheikh Zayed Stadium
2014,Sharjah,20-04-2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,0,7,GJ Maxwell,Sharjah Cricket Stadium
2014,Dubai,19-04-2014,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,0,4,JP Duminy,Dubai International Cricket Stadium
2014,Dubai,19-04-2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,7,PA Patel,Dubai International Cricket Stadium
2014,Abu Dhabi,18-04-2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,0,4,AM Rahane,Sheikh Zayed Stadium
2014,Abu Dhabi,18-04-2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,0,6,GJ Maxwell,Sheikh Zayed Stadium
2014,Sharjah,17-04-2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,0,8,YS Chahal,Sharjah Cricket Stadium
2014,Abu Dhabi,16-04-2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,41,0,JH Kallis,Sheikh Zayed Stadium
2013,Kolkata,26-05-2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,23,0,KA Pollard,Eden Gardens
2013,Kolkata,24-05-2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens
2013,Delhi,22-05-2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0,4,BJ Hodge,Feroz Shah Kotla
2013,Delhi,21-05-2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48,0,MEK Hussey,Feroz Shah Kotla
2013,Hyderabad,19-05-2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal"
